# BLASTP 2.2.30+
# Query: YAL001C TFC3 SGDID:S000000001, Chr I from 151006-147594,151166-151097, Genome Release 64-2-1, reverse complement, Verified ORF, "Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)"
# Database: orf_trans
# Fields: query id, subject id, alignment length, query length, subject length, q. start, q. end, s. start, s. end, evalue
# 1 hits found
YAL001C	YAL001C	1161	1161	1161	1	1161	1	1161	0.0
# BLASTP 2.2.30+
# Query: YAL002W VPS8 SGDID:S000000002, Chr I from 143707-147531, Genome Release 64-2-1, Verified ORF, "Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif"
# Database: orf_trans
# Fields: query id, subject id, alignment length, query length, subject length, q. start, q. end, s. start, s. end, evalue
# 1 hits found
YAL002W	YAL002W	1275	1275	1275	1	1275	1	1275	0.0
# BLASTP 2.2.30+
# Query: YAL003W EFB1 SGDID:S000000003, Chr I from 142174-142253,142620-143160, Genome Release 64-2-1, Verified ORF, "Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site"
# Database: orf_trans
# Fields: query id, subject id, alignment length, query length, subject length, q. start, q. end, s. start, s. end, evalue
# 1 hits found
YAL003W	YAL003W	207	207	207	1	207	1	207	2e-148
# BLASTP 2.2.30+
# Query: YAL005C SSA1 SGDID:S000000004, Chr I from 141431-139503, Genome Release 64-2-1, reverse complement, Verified ORF, "ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, and cell wall; 98% identical with paralog Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils"
# Database: orf_trans
# Fields: query id, subject id, alignment length, query length, subject length, q. start, q. end, s. start, s. end, evalue
# 2 hits found
YAL005C	YAL005C	643	643	643	1	643	1	643	0.0
YAL005C	YLL024C	643	643	640	1	643	1	640	0.0
# BLASTP 2.2.30+
# Query: YAL007C ERP2 SGDID:S000000005, Chr I from 138345-137698, Genome Release 64-2-1, reverse complement, Verified ORF, "Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication"
# Database: orf_trans
# Fields: query id, subject id, alignment length, query length, subject length, q. start, q. end, s. start, s. end, evalue
# 2 hits found
YAL007C	YAL007C	216	216	216	1	216	1	216	2e-157
YAL007C	YOR016C	193	216	208	24	216	19	208	6e-106
# BLASTP 2.2.30+
# Query: YAL008W FUN14 SGDID:S000000006, Chr I from 136914-137510, Genome Release 64-2-1, Verified ORF, "Mitochondrial protein of unknown function"
# Database: orf_trans
# Fields: query id, subject id, alignment length, query length, subject length, q. start, q. end, s. start, s. end, evalue
# 1 hits found
YAL008W	YAL008W	199	199	199	1	199	1	199	4e-142
# BLASTP 2.2.30+
# Query: YAL009W SPO7 SGDID:S000000007, Chr I from 135854-136633, Genome Release 64-2-1, Verified ORF, "Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation"
# Database: orf_trans
# Fields: query id, subject id, alignment length, query length, subject length, q. start, q. end, s. start, s. end, evalue
# 1 hits found
YAL009W	YAL009W	260	260	260	1	260	1	260	0.0
# BLASTP 2.2.30+
# Query: YAL010C MDM10 SGDID:S000000008, Chr I from 135665-134184, Genome Release 64-2-1, reverse complement, Verified ORF, "Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase"
# Database: orf_trans
# Fields: query id, subject id, alignment length, query length, subject length, q. start, q. end, s. start, s. end, evalue
# 1 hits found
YAL010C	YAL010C	494	494	494	1	494	1	494	0.0
# BLASTP 2.2.30+
# Query: YAL011W SWC3 SGDID:S000000009, Chr I from 132199-134076, Genome Release 64-2-1, Verified ORF, "Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae"
# Database: orf_trans
# Fields: query id, subject id, alignment length, query length, subject length, q. start, q. end, s. start, s. end, evalue
# 1 hits found
YAL011W	YAL011W	626	626	626	1	626	1	626	0.0
# BLASTP 2.2.30+
# Query: YAL012W CYS3 SGDID:S000000010, Chr I from 130799-131983, Genome Release 64-2-1, Verified ORF, "Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress"
# Database: orf_trans
# Fields: query id, subject id, alignment length, query length, subject length, q. start, q. end, s. start, s. end, evalue
# 2 hits found
YAL012W	YAL012W	395	395	395	1	395	1	395	0.0
YAL012W	YGL184C	410	395	466	8	392	5	407	5e-54
# BLASTP 2.2.30+
# Query: YAL013W DEP1 SGDID:S000000011, Chr I from 129270-130487, Genome Release 64-2-1, Verified ORF, "Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation"
# Database: orf_trans
# Fields: query id, subject id, alignment length, query length, subject length, q. start, q. end, s. start, s. end, evalue
# 1 hits found
YAL013W	YAL013W	406	406	406	1	406	1	406	0.0
# BLASTP 2.2.30+
# Query: YAL014C SYN8 SGDID:S000000012, Chr I from 129019-128252, Genome Release 64-2-1, reverse complement, Verified ORF, "Endosomal SNARE related to mammalian syntaxin 8"
# Database: orf_trans
# Fields: query id, subject id, alignment length, query length, subject length, q. start, q. end, s. start, s. end, evalue
# 1 hits found
YAL014C	YAL014C	256	256	256	1	256	1	256	0.0
# BLASTP 2.2.30+
# Query: YAL015C NTG1 SGDID:S000000013, Chr I from 128102-126903, Genome Release 64-2-1, reverse complement, Verified ORF, "DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication"
# Database: orf_trans
# Fields: query id, subject id, alignment length, query length, subject length, q. start, q. end, s. start, s. end, evalue
# 2 hits found
YAL015C	YAL015C	400	400	400	1	400	1	400	0.0
YAL015C	YOL043C	285	400	381	33	317	38	322	3e-100
# BLASTP 2.2.30+
# Query: YAL016W TPD3 SGDID:S000000014, Chr I from 124879-126786, Genome Release 64-2-1, Verified ORF, "Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III"
# Database: orf_trans
# Fields: query id, subject id, alignment length, query length, subject length, q. start, q. end, s. start, s. end, evalue
# 1 hits found
YAL016W	YAL016W	636	636	636	1	636	1	636	0.0
# BLASTP 2.2.30+
# Query: YAL017W PSK1 SGDID:S000000015, Chr I from 120225-124295, Genome Release 64-2-1, Verified ORF, "PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication"
# Database: orf_trans
# Fields: query id, subject id, alignment length, query length, subject length, q. start, q. end, s. start, s. end, evalue
# 2 hits found
YAL017W	YAL017W	1357	1357	1357	1	1357	1	1357	0.0
YAL017W	YOL045W	707	1357	1102	654	1357	432	1102	0.0
# BLASTP 2.2.30+
